Date,Close/Last,Volume,Open,High,Low,Daily Return,Cumulative Return,SMA_20,SMA_50,EMA_20,EMA_50,Volatility_20,Up_Streak,Down_Streak,Position,Strategy Return,Cumulative Strategy Return
2015-02-18,210.13,80057400,209.66,210.22,209.3401,9.518823473420036e-05,0.0384995552041125,205.18601,204.531304,206.07921617443893,204.89289210722893,0.0089350955875789,6,0,1,9.518823473420036e-05,0.018949739540373267
2015-02-19,209.98,91364150,209.41,210.42,209.24,-0.0007138438109741,0.0377582287239306,205.53101,204.570904,206.4507193959209,205.09238653439644,0.0089240095742757,0,1,1,-0.0007138438109741,0.018222368575108838
2015-02-20,211.239,140029800,209.48,211.33,208.73,0.0059958091246785,0.0439804289809238,205.78796,204.663484,206.90674612011892,205.33343019971423,0.008442797846263,1,0,1,0.0059958091246785,0.024327435543563203
2015-02-23,211.209,74250690,210.94,211.21,210.48,-0.0001420192294037,0.0438321636848872,206.09991,204.75826400000005,207.3164845848696,205.56384470168624,0.0083013810781449,0,1,1,-0.0001420192294037,0.024181961350510317
2015-02-24,211.81,72214030,211.12,212.05,210.76,0.002845522681325,0.0468024117821492,206.41791000000003,204.931262,207.7444384339296,205.8087919682868,0.0083047272349087,1,0,1,0.002845522681325,0.027096294351337313
2015-02-25,211.63,72874810,211.66,212.24,211.22,-0.0008498182333223,0.0459128200059311,206.86241,205.080062,208.11449191641253,206.03707463619716,0.0075778674131997,0,1,1,-0.0008498182333223,0.026223449193019777
2015-02-26,211.38,72577040,211.52,211.71,210.65,-0.0011813069980626,0.0446772758722946,207.42441,205.289862,208.425492686278,206.24660112105212,0.006768960229997,0,2,1,-0.0011813069980626,0.0250111642509121
2015-02-27,210.66,107946400,211.26,211.58,210.6,-0.0034061879080329,0.0411189087674217,207.8579,205.512862,208.63830290663248,206.41967558689325,0.0067217803443145,0,3,0,-0.0034061879080329,0.021519783617641952
2015-03-02,211.99,87300760,210.78,212.06,210.72,0.0063134909332573,0.0476920035583676,208.4849,205.794462,208.95751215361983,206.6381196815249,0.0058131191240907,1,0,0,0.0,0.021519783617641952
2015-03-03,211.12,110141700,211.47,212.054,210.08,-0.0041039671682626,0.0433923099733128,208.9449,205.981062,209.1634633770846,206.81387969401413,0.0055873745703678,0,1,0,-0.0,0.021519783617641952
2015-03-04,210.2301,114257600,210.4,210.49,209.06,-0.004215138309966,0.0389942670752203,209.214405,206.050064,209.26504781736224,206.9478491177783,0.0049641586577117,0,2,0,-0.0,0.021519783617641952
2015-03-05,210.46,76825940,210.62,210.8,209.85,0.0010935636714248,0.0401304734605125,209.534405,206.128864,209.37885278713728,207.08558052492427,0.0048169449896489,1,0,0,0.0,0.021519783617641952
2015-03-06,207.5,186468600,209.42,209.94,207.1,-0.0140644302955431,0.0255016309182569,209.603405,206.129464,209.19991442645752,207.10183226904488,0.0055382237149819,0,1,0,-0.0,0.021519783617641952
